education_level,interest_tech,interest_commerce,interest_arts,career_preference_private,difficulty_tolerance,risk_tolerance,option_type,option_difficulty,option_job_type,recommendation_score
3,0,1,0,0,3,1,2,2,0,59
1,0,1,0,1,3,2,1,3,0,62
7,0,1,0,0,3,1,1,3,0,59
1,0,0,1,0,2,1,3,3,0,42
4,0,1,0,0,2,2,3,3,0,67
6,0,0,1,1,1,3,1,3,0,57
3,0,1,0,1,3,2,3,2,1,90
7,1,0,0,0,3,3,2,3,0,68
4,1,0,0,1,3,2,2,2,0,64
2,1,0,0,1,1,3,3,1,1,61
3,0,0,1,1,3,2,1,2,0,79
6,0,1,0,1,3,1,2,1,0,55
2,0,1,0,1,1,2,3,1,1,87
2,0,0,1,1,2,1,2,3,0,37
5,0,1,0,0,2,2,2,3,0,40
6,0,1,0,1,1,1,1,1,0,58
7,0,1,0,1,3,1,3,3,1,84
5,1,0,0,1,1,1,1,3,0,59
1,0,1,0,1,1,2,1,1,0,70
1,1,0,0,0,3,1,1,1,0,79
7,0,1,0,1,2,1,3,1,1,76
5,1,0,0,0,2,2,1,1,0,86
4,0,1,0,1,2,1,3,2,1,81
7,0,1,0,1,3,3,2,3,0,62
6,0,0,1,1,2,3,3,1,1,63
3,1,0,0,0,2,2,3,1,0,70
6,0,1,0,1,1,2,3,1,1,87
1,1,0,0,1,2,1,2,1,0,56
1,1,0,0,0,1,2,1,3,0,61
1,0,1,0,0,3,3,2,1,0,61
4,0,1,0,1,2,3,1,2,0,69
2,0,1,0,1,3,3,2,2,0,65
7,0,0,1,1,3,3,2,2,0,63
2,0,0,1,0,2,3,2,2,0,63
4,0,0,1,1,2,1,1,2,0,77
4,0,0,1,1,3,3,2,2,0,69
6,0,1,0,0,1,1,1,1,0,58
6,0,1,0,0,3,3,1,3,0,60
1,1,0,0,0,2,3,3,2,0,67
5,0,1,0,1,2,2,2,2,0,63
6,1,0,0,0,2,2,3,2,0,63
6,0,0,1,1,1,1,2,2,0,37
3,0,1,0,1,2,2,2,1,0,62
4,1,0,0,0,1,2,3,1,0,64
3,0,1,0,0,1,2,2,3,0,46
3,0,1,0,1,1,1,2,2,0,44
4,1,0,0,0,2,3,1,1,0,84
7,0,1,0,0,1,1,1,2,0,44
7,0,1,0,0,2,3,1,1,0,65
3,0,0,1,0,2,1,2,3,0,38
7,0,1,0,0,3,3,2,1,0,61
2,0,0,1,0,1,1,2,2,0,45
4,0,1,0,1,3,3,1,2,0,61
4,0,0,1,0,2,2,3,3,0,42
7,1,0,0,1,3,2,3,2,1,65
1,0,1,0,0,3,1,1,1,0,58
2,0,0,1,1,2,2,2,1,0,66
6,0,0,1,1,3,3,2,3,0,61
7,0,1,0,1,3,2,2,2,0,61
3,0,1,0,1,2,3,3,2,1,90
4,1,0,0,0,2,2,3,3,0,49
7,1,0,0,1,1,2,2,3,0,44
2,0,0,1,0,2,3,2,2,0,70
7,1,0,0,0,1,1,2,1,0,58
2,1,0,0,1,3,3,2,1,0,65
7,0,1,0,1,2,1,2,1,0,60
7,0,0,1,1,2,3,2,3,0,49
1,0,1,0,0,1,1,2,3,0,39
4,0,1,0,1,3,2,2,1,0,69
3,1,0,0,1,2,2,3,2,1,67
6,0,1,0,0,2,3,1,3,0,47
6,0,0,1,1,3,3,2,2,0,62
1,0,0,1,0,3,3,2,3,0,65
1,0,1,0,0,3,1,3,2,0,81
2,0,1,0,1,2,2,3,1,1,83
7,0,1,0,1,1,1,2,1,0,61
5,1,0,0,0,2,2,3,3,0,50
3,1,0,0,0,3,2,1,1,0,80
3,0,0,1,0,2,3,3,1,0,70
3,0,1,0,1,2,2,3,3,1,67
2,1,0,0,0,2,2,1,1,0,82
7,0,1,0,0,1,2,1,2,0,41
